season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
2022,5,miami,hamilton,1985-01-07,British,mercedes,6,5685626,Finished,8,6
2022,5,miami,bottas,1989-08-28,Finnish,alfa,5,5689331,Finished,6,7
2022,5,miami,ocon,1996-09-17,French,alpine,20,5692644,Finished,4,8
2022,5,miami,albon,1996-03-23,Thai,williams,18,5696623,Finished,2,9
2022,5,miami,stroll,1998-10-29,Canadian,aston_martin,0,5701284,Finished,1,10
2022,5,miami,alonso,1981-07-29,Spanish,alpine,11,5701386,Finished,0,11
2022,5,miami,tsunoda,2000-05-11,Japanese,alphatauri,9,5704404,Finished,0,12
2022,5,miami,ricciardo,1989-07-01,Australian,mclaren,14,5705160,Finished,0,13
2022,5,miami,latifi,1995-06-29,Canadian,williams,19,5714194,Finished,0,14
2022,5,miami,mick_schumacher,1999-03-22,German,haas,15,5737563,Finished,0,15
2022,5,miami,kevin_magnussen,1992-10-05,Danish,haas,16,,Front wing,0,16
2022,5,miami,vettel,1987-07-03,German,aston_martin,0,,Collision,0,17
2022,5,miami,gasly,1996-02-07,French,alphatauri,7,,Suspension,0,18
2022,5,miami,norris,1999-11-13,British,mclaren,8,,Collision,0,19
2022,5,miami,zhou,1999-05-30,Chinese,alfa,17,,Water leak,0,20
2022,6,catalunya,max_verstappen,1997-09-30,Dutch,red_bull,2,5840475,Finished,25,1
2022,6,catalunya,perez,1990-01-26,Mexican,red_bull,5,5853547,Finished,19,2
2022,6,catalunya,russell,1998-02-15,British,mercedes,4,5873402,Finished,15,3
2022,6,catalunya,sainz,1994-09-01,Spanish,ferrari,3,5885683,Finished,12,4
2022,6,catalunya,hamilton,1985-01-07,British,mercedes,6,5895009,Finished,10,5
2022,6,catalunya,bottas,1989-08-28,Finnish,alfa,7,5900451,Finished,8,6
2022,6,catalunya,ocon,1996-09-17,French,alpine,12,5915872,Finished,6,7
2022,6,catalunya,norris,1999-11-13,British,mclaren,11,5923710,Finished,4,8
2022,6,catalunya,alonso,1981-07-29,Spanish,alpine,20,,+1 Lap,2,9
2022,6,catalunya,tsunoda,2000-05-11,Japanese,alphatauri,13,,+1 Lap,1,10
2022,6,catalunya,vettel,1987-07-03,German,aston_martin,16,,+1 Lap,0,11
2022,6,catalunya,ricciardo,1989-07-01,Australian,mclaren,9,,+1 Lap,0,12
2022,6,catalunya,gasly,1996-02-07,French,alphatauri,14,,+1 Lap,0,13
2022,6,catalunya,mick_schumacher,1999-03-22,German,haas,10,,+1 Lap,0,14
2022,6,catalunya,stroll,1998-10-29,Canadian,aston_martin,17,,+1 Lap,0,15
2022,6,catalunya,latifi,1995-06-29,Canadian,williams,19,,+2 Laps,0,16
2022,6,catalunya,kevin_magnussen,1992-10-05,Danish,haas,8,,+2 Laps,0,17
2022,6,catalunya,albon,1996-03-23,Thai,williams,18,,+2 Laps,0,18
2022,6,catalunya,zhou,1999-05-30,Chinese,alfa,15,,Power loss,0,19
2022,6,catalunya,leclerc,1997-10-16,Monegasque,ferrari,1,,Turbo,0,20
